RunScript;Config;RunId;Output;remainingFractionKiga;remainingFractionPrimary;remainingFractionSecondary;remainingFractionHigher;remainingFractionLeisure;remainingFractionWork;remainingFractionShopping;remainingFractionErrandsBusiness
run.sh;config_sz17.xml;sz17;output/1.0-1.0-1.0-0.5-0.4-0.4-0.4-0.4;1.0;1.0;1.0;0.5;0.4;0.4;0.4;0.4
run.sh;config_sz18.xml;sz18;output/1.0-1.0-1.0-0.5-0.4-0.4-0.4-0.2;1.0;1.0;1.0;0.5;0.4;0.4;0.4;0.2
run.sh;config_sz19.xml;sz19;output/1.0-1.0-1.0-0.5-0.4-0.4-0.2-0.4;1.0;1.0;1.0;0.5;0.4;0.4;0.2;0.4
run.sh;config_sz20.xml;sz20;output/1.0-1.0-1.0-0.5-0.4-0.4-0.2-0.2;1.0;1.0;1.0;0.5;0.4;0.4;0.2;0.2
run.sh;config_sz21.xml;sz21;output/1.0-1.0-1.0-0.5-0.4-0.2-0.4-0.4;1.0;1.0;1.0;0.5;0.4;0.2;0.4;0.4
run.sh;config_sz22.xml;sz22;output/1.0-1.0-1.0-0.5-0.4-0.2-0.4-0.2;1.0;1.0;1.0;0.5;0.4;0.2;0.4;0.2
run.sh;config_sz23.xml;sz23;output/1.0-1.0-1.0-0.5-0.4-0.2-0.2-0.4;1.0;1.0;1.0;0.5;0.4;0.2;0.2;0.4
run.sh;config_sz24.xml;sz24;output/1.0-1.0-1.0-0.5-0.4-0.2-0.2-0.2;1.0;1.0;1.0;0.5;0.4;0.2;0.2;0.2
run.sh;config_sz25.xml;sz25;output/1.0-1.0-1.0-0.5-0.2-0.4-0.4-0.4;1.0;1.0;1.0;0.5;0.2;0.4;0.4;0.4
run.sh;config_sz26.xml;sz26;output/1.0-1.0-1.0-0.5-0.2-0.4-0.4-0.2;1.0;1.0;1.0;0.5;0.2;0.4;0.4;0.2
run.sh;config_sz27.xml;sz27;output/1.0-1.0-1.0-0.5-0.2-0.4-0.2-0.4;1.0;1.0;1.0;0.5;0.2;0.4;0.2;0.4
run.sh;config_sz28.xml;sz28;output/1.0-1.0-1.0-0.5-0.2-0.4-0.2-0.2;1.0;1.0;1.0;0.5;0.2;0.4;0.2;0.2
run.sh;config_sz29.xml;sz29;output/1.0-1.0-1.0-0.5-0.2-0.2-0.4-0.4;1.0;1.0;1.0;0.5;0.2;0.2;0.4;0.4
run.sh;config_sz30.xml;sz30;output/1.0-1.0-1.0-0.5-0.2-0.2-0.4-0.2;1.0;1.0;1.0;0.5;0.2;0.2;0.4;0.2
run.sh;config_sz31.xml;sz31;output/1.0-1.0-1.0-0.5-0.2-0.2-0.2-0.4;1.0;1.0;1.0;0.5;0.2;0.2;0.2;0.4
run.sh;config_sz32.xml;sz32;output/1.0-1.0-1.0-0.5-0.2-0.2-0.2-0.2;1.0;1.0;1.0;0.5;0.2;0.2;0.2;0.2
run.sh;config_sz33.xml;sz33;output/1.0-1.0-1.0-0.0-0.4-0.4-0.4-0.4;1.0;1.0;1.0;0.0;0.4;0.4;0.4;0.4
run.sh;config_sz34.xml;sz34;output/1.0-1.0-1.0-0.0-0.4-0.4-0.4-0.2;1.0;1.0;1.0;0.0;0.4;0.4;0.4;0.2
run.sh;config_sz35.xml;sz35;output/1.0-1.0-1.0-0.0-0.4-0.4-0.2-0.4;1.0;1.0;1.0;0.0;0.4;0.4;0.2;0.4
run.sh;config_sz36.xml;sz36;output/1.0-1.0-1.0-0.0-0.4-0.4-0.2-0.2;1.0;1.0;1.0;0.0;0.4;0.4;0.2;0.2
run.sh;config_sz37.xml;sz37;output/1.0-1.0-1.0-0.0-0.4-0.2-0.4-0.4;1.0;1.0;1.0;0.0;0.4;0.2;0.4;0.4
run.sh;config_sz38.xml;sz38;output/1.0-1.0-1.0-0.0-0.4-0.2-0.4-0.2;1.0;1.0;1.0;0.0;0.4;0.2;0.4;0.2
run.sh;config_sz39.xml;sz39;output/1.0-1.0-1.0-0.0-0.4-0.2-0.2-0.4;1.0;1.0;1.0;0.0;0.4;0.2;0.2;0.4
run.sh;config_sz40.xml;sz40;output/1.0-1.0-1.0-0.0-0.4-0.2-0.2-0.2;1.0;1.0;1.0;0.0;0.4;0.2;0.2;0.2
run.sh;config_sz41.xml;sz41;output/1.0-1.0-1.0-0.0-0.2-0.4-0.4-0.4;1.0;1.0;1.0;0.0;0.2;0.4;0.4;0.4
run.sh;config_sz42.xml;sz42;output/1.0-1.0-1.0-0.0-0.2-0.4-0.4-0.2;1.0;1.0;1.0;0.0;0.2;0.4;0.4;0.2
run.sh;config_sz43.xml;sz43;output/1.0-1.0-1.0-0.0-0.2-0.4-0.2-0.4;1.0;1.0;1.0;0.0;0.2;0.4;0.2;0.4
run.sh;config_sz44.xml;sz44;output/1.0-1.0-1.0-0.0-0.2-0.4-0.2-0.2;1.0;1.0;1.0;0.0;0.2;0.4;0.2;0.2
run.sh;config_sz45.xml;sz45;output/1.0-1.0-1.0-0.0-0.2-0.2-0.4-0.4;1.0;1.0;1.0;0.0;0.2;0.2;0.4;0.4
run.sh;config_sz46.xml;sz46;output/1.0-1.0-1.0-0.0-0.2-0.2-0.4-0.2;1.0;1.0;1.0;0.0;0.2;0.2;0.4;0.2
