RunScript;Config;RunId;Output;Close Public Transit;Close Workplaces;End Social Activities;End All Other Activities
snz104.sh;config_snz104.xml;snz104;output/10-20-10-30;10;20;10;30
snz105.sh;config_snz105.xml;snz105;output/10-20-20-1000;10;20;20;1000
snz106.sh;config_snz106.xml;snz106;output/10-20-20-10;10;20;20;10
snz107.sh;config_snz107.xml;snz107;output/10-20-20-20;10;20;20;20
snz108.sh;config_snz108.xml;snz108;output/10-20-20-30;10;20;20;30
snz109.sh;config_snz109.xml;snz109;output/10-20-30-1000;10;20;30;1000
snz110.sh;config_snz110.xml;snz110;output/10-20-30-10;10;20;30;10
snz111.sh;config_snz111.xml;snz111;output/10-20-30-20;10;20;30;20
snz112.sh;config_snz112.xml;snz112;output/10-20-30-30;10;20;30;30
snz113.sh;config_snz113.xml;snz113;output/10-30-1000-1000;10;30;1000;1000
snz114.sh;config_snz114.xml;snz114;output/10-30-1000-10;10;30;1000;10
snz115.sh;config_snz115.xml;snz115;output/10-30-1000-20;10;30;1000;20
snz116.sh;config_snz116.xml;snz116;output/10-30-1000-30;10;30;1000;30
snz117.sh;config_snz117.xml;snz117;output/10-30-10-1000;10;30;10;1000
snz118.sh;config_snz118.xml;snz118;output/10-30-10-10;10;30;10;10
snz119.sh;config_snz119.xml;snz119;output/10-30-10-20;10;30;10;20
snz120.sh;config_snz120.xml;snz120;output/10-30-10-30;10;30;10;30
snz121.sh;config_snz121.xml;snz121;output/10-30-20-1000;10;30;20;1000
snz122.sh;config_snz122.xml;snz122;output/10-30-20-10;10;30;20;10
snz123.sh;config_snz123.xml;snz123;output/10-30-20-20;10;30;20;20
snz124.sh;config_snz124.xml;snz124;output/10-30-20-30;10;30;20;30
snz125.sh;config_snz125.xml;snz125;output/10-30-30-1000;10;30;30;1000
snz126.sh;config_snz126.xml;snz126;output/10-30-30-10;10;30;30;10
snz127.sh;config_snz127.xml;snz127;output/10-30-30-20;10;30;30;20
snz128.sh;config_snz128.xml;snz128;output/10-30-30-30;10;30;30;30
snz129.sh;config_snz129.xml;snz129;output/20-1000-1000-1000;20;1000;1000;1000
snz130.sh;config_snz130.xml;snz130;output/20-1000-1000-10;20;1000;1000;10
snz131.sh;config_snz131.xml;snz131;output/20-1000-1000-20;20;1000;1000;20
snz132.sh;config_snz132.xml;snz132;output/20-1000-1000-30;20;1000;1000;30
snz133.sh;config_snz133.xml;snz133;output/20-1000-10-1000;20;1000;10;1000
snz134.sh;config_snz134.xml;snz134;output/20-1000-10-10;20;1000;10;10
snz135.sh;config_snz135.xml;snz135;output/20-1000-10-20;20;1000;10;20
snz136.sh;config_snz136.xml;snz136;output/20-1000-10-30;20;1000;10;30
snz137.sh;config_snz137.xml;snz137;output/20-1000-20-1000;20;1000;20;1000
snz138.sh;config_snz138.xml;snz138;output/20-1000-20-10;20;1000;20;10
snz139.sh;config_snz139.xml;snz139;output/20-1000-20-20;20;1000;20;20
snz140.sh;config_snz140.xml;snz140;output/20-1000-20-30;20;1000;20;30
snz141.sh;config_snz141.xml;snz141;output/20-1000-30-1000;20;1000;30;1000
