scenario,t,y
Mid term,1970-01-01 05:00:00,0.9914294156833168
Mid term,1970-01-01 05:15:00,0.9794384994016156
Mid term,1970-01-01 05:30:00,0.9567562252357242
Mid term,1970-01-01 05:45:00,0.9320422840598088
Mid term,1970-01-01 06:00:00,0.9284102598489626
Mid term,1970-01-01 06:15:00,0.935435930959408
Mid term,1970-01-01 06:30:00,0.9336244667659107
Mid term,1970-01-01 06:45:00,0.9354125908758033
Mid term,1970-01-01 07:00:00,0.936312046082675
Mid term,1970-01-01 07:15:00,0.9357531103923371
Mid term,1970-01-01 07:30:00,0.9349022801208507
Mid term,1970-01-01 07:45:00,0.9296795021931704
Mid term,1970-01-01 08:00:00,0.930115106985365
Mid term,1970-01-01 08:15:00,0.9311897267050998
Mid term,1970-01-01 08:30:00,0.9268048943493756
Mid term,1970-01-01 08:45:00,0.9218878962813233
Mid term,1970-01-01 09:00:00,0.9238958143680398
Mid term,1970-01-01 09:15:00,0.9275632324547503
Mid term,1970-01-01 09:30:00,0.9322168168574364
Mid term,1970-01-01 09:45:00,0.9317497366547862
Mid term,1970-01-01 10:00:00,0.9321130926921651
Mid term,1970-01-01 10:15:00,0.9341423909874984
Mid term,1970-01-01 10:30:00,0.9355490543978691
Mid term,1970-01-01 10:45:00,0.9335616658403822
Mid term,1970-01-01 11:00:00,0.9360851937474364
Mid term,1970-01-01 11:15:00,0.9334163584535536
Mid term,1970-01-01 11:30:00,0.9346576788230206
Mid term,1970-01-01 11:45:00,0.9308844265312578
Mid term,1970-01-01 12:00:00,0.9304572705278704
Mid term,1970-01-01 12:15:00,0.9276280314418551
Mid term,1970-01-01 12:30:00,0.9260642820130619
Mid term,1970-01-01 12:45:00,0.9247248284291576
Mid term,1970-01-01 13:00:00,0.9223007745346128
Mid term,1970-01-01 13:15:00,0.9255314698871754
Mid term,1970-01-01 13:30:00,0.9217171027829453
Mid term,1970-01-01 13:45:00,0.9214416587702177
Mid term,1970-01-01 14:00:00,0.9202295137051634
Mid term,1970-01-01 14:15:00,0.9185577527581837
Mid term,1970-01-01 14:30:00,0.9191773924581644
Mid term,1970-01-01 14:45:00,0.9165069467054062
Mid term,1970-01-01 15:00:00,0.9185592146511108
Mid term,1970-01-01 15:15:00,0.9162316769308413
Mid term,1970-01-01 15:30:00,0.9136069483070827
Mid term,1970-01-01 15:45:00,0.9156812524771469
Mid term,1970-01-01 16:00:00,0.9126504561584163
Mid term,1970-01-01 16:15:00,0.9131228799986361
Mid term,1970-01-01 16:30:00,0.9136559354192955
Mid term,1970-01-01 16:45:00,0.9141163113053152
Mid term,1970-01-01 17:00:00,0.9150981438777853
Mid term,1970-01-01 17:15:00,0.9170065977934911
Mid term,1970-01-01 17:30:00,0.9177110752062224
Mid term,1970-01-01 17:45:00,0.9207080222467449
Mid term,1970-01-01 18:00:00,0.9229347240150457
Mid term,1970-01-01 18:15:00,0.923361184996723
Mid term,1970-01-01 18:30:00,0.925061347243239
Mid term,1970-01-01 18:45:00,0.9265084202017916
Mid term,1970-01-01 19:00:00,0.9271757908522401
Mid term,1970-01-01 19:15:00,0.9268114266802085
Mid term,1970-01-01 19:30:00,0.9268183594804558
Mid term,1970-01-01 19:45:00,0.9232690445740376
Mid term,1970-01-01 20:00:00,0.9255996032759778
Mid term,1970-01-01 20:15:00,0.9433016844678724
Mid term,1970-01-01 20:30:00,0.9557881076437984
Mid term,1970-01-01 20:45:00,0.9656470446610884
Mid term,1970-01-01 21:00:00,0.9699902810845638
Mid term,1970-01-01 21:15:00,0.9728472731126094
Mid term,1970-01-01 21:30:00,0.9758086705791109
Mid term,1970-01-01 21:45:00,0.9794988515087631
Mid term,1970-01-01 22:00:00,0.9783991253030349
Mid term,1970-01-01 22:15:00,0.9817168369958098
Mid term,1970-01-01 22:30:00,0.9832614163296569
Mid term,1970-01-01 22:45:00,0.9851946648714137
Mid term,1970-01-01 23:00:00,0.9858731232308269
Mid term,1970-01-01 23:15:00,0.9875397980389887
Mid term,1970-01-01 23:30:00,0.9899052850091833
Mid term,1970-01-01 23:45:00,0.9923206473765108
Distant future,1970-01-01 00:00:00,0.9987976217308052
Distant future,1970-01-01 00:15:00,0.9996568687029784
Distant future,1970-01-01 00:30:00,0.9997330225910255
Distant future,1970-01-01 00:45:00,0.9998927314052374
Distant future,1970-01-01 01:00:00,0.9999791099287111
Distant future,1970-01-01 01:15:00,0.9998638671920742
Distant future,1970-01-01 01:30:00,0.9996508336899199
Distant future,1970-01-01 01:45:00,0.9998064151983088
Distant future,1970-01-01 02:00:00,0.9992962680737285
Distant future,1970-01-01 02:15:00,0.9996612526965175
Distant future,1970-01-01 02:30:00,0.9996908989809948
Distant future,1970-01-01 02:45:00,0.9995147164881597
