id,x,y,infectedButNotContagious,contagious,showingSymptoms,seriouslySick,critical,recovered
444425401,4604174,5817635,25,29,0,0,0,41
438926701,4598308,5825269,21,25,27,0,0,37
437203001,4603194,5827449,21,25,27,0,0,37
428279901,4594268,5819553,17,21,23,0,0,33
425551201,4592445,5824059,17,21,23,0,0,33
415484701,4597706,5811954,17,21,0,0,0,33
415115101,4588641,5821468,13,17,19,0,0,29
415112901,4585500,5824640,17,21,0,0,0,33
410870501,4590631,5818847,17,21,0,0,0,33
402199201,4596903,5812982,0,0,0,0,0,0
397937601,4591717,5822534,17,21,23,0,0,33
3950201,4600660,5805270,0,0,0,0,0,0
375759101,4588481,5822582,21,25,27,0,0,37
367932201,4605304,5812039,21,25,27,0,0,37
365208801,4587187,5814924,21,25,27,0,0,37
349720001,4584269,5819908,17,21,0,0,0,33
338304301,4602559,5808770,21,25,27,0,0,37
309806501,4586317,5820824,21,25,0,0,0,37
294400701,4585712,5809500,13,17,19,0,0,29
285754201,4592353,5809755,18,22,24,0,0,34
277873501,4588786,5815983,21,25,0,0,0,37
265393501,4578430,5822939,42,46,48,0,0,58
253734701,4585660,5809942,29,33,35,0,0,45
24500201,4595834,5787322,0,0,0,0,0,0
231470501,4606924,5814143,21,25,0,0,0,37
223649601,4607373,5814943,0,0,0,0,0,0
211064701,4591481,5817927,0,0,0,0,0,0
203501,4609901,5800797,13,17,19,0,0,29
173939701,4585789,5823808,13,17,0,0,0,29
159560401,4535813,5810259,29,33,0,0,0,45
1560301,4571961,5800492,0,0,0,0,0,0
143128601,4594097,5851157,25,29,31,0,0,41
137617601,4587846,5807383,13,17,19,0,0,29
117085301,4593659,5837783,25,29,0,0,0,41
10148301,4609171,5805682,0,0,0,0,0,0
294023501,4591411,5824631,21,25,27,0,0,37
232846601,4598206,5825083,22,26,28,0,0,38
212687701,4606133,5813589,17,21,23,0,0,33
453209001,4629598,5703399,0,0,0,0,0,0
378746101,4596679,5824570,33,37,39,0,0,49
253379901,4597842,5821066,17,21,23,0,0,33
136636301,4587471,5807590,18,22,24,0,0,34
306128501,4602495,5827670,21,25,0,0,0,37
338689501,4588430,5819691,25,29,31,0,0,41
331909401,4602753,5823222,0,0,0,0,0,0
21440901,4616473,5846996,25,29,31,35,0,48
236894401,4601139,5820435,17,21,23,0,0,33
180341501,4577094,5813143,21,25,27,0,0,37
155017901,4632611,5808064,17,21,23,27,0,40
40826901,4624720,5911464,0,0,0,0,0,0
385794801,4589616,5816987,17,21,23,0,0,33
52366001,4563285,5840973,22,26,0,0,0,38
205734501,4596583,5821583,0,0,0,0,0,0
183892001,4594833,5809036,21,25,27,0,0,37
320913301,4597734,5824087,21,25,27,0,0,37
143881901,4578569,5846783,25,29,31,0,0,41
8921701,4653223,5884968,25,29,0,0,0,41
26812601,4578404,5775954,37,41,43,0,0,53
385253701,4594138,5812417,25,29,31,35,0,48
303243701,4596646,5806915,21,25,27,0,0,37
165375401,4629094,5802065,27,31,33,0,0,43
367576001,4597404,5821712,25,29,0,0,0,41
318618701,4594524,5825474,17,21,23,0,0,33
153649801,4639925,5718463,0,0,0,0,0,0
384653001,4588968,5812426,21,25,27,0,0,37
388372701,4598157,5819528,0,0,0,0,0,0
199494701,4595162,5811608,0,0,0,0,0,0
117655501,4620240,5822206,25,29,31,0,0,41
270007201,4603879,5809253,13,17,19,0,0,29
17840801,4665306,5715549,35,39,41,0,0,51
30226901,4605316,5848703,29,33,0,0,0,45
154454201,4639054,5809781,33,37,0,0,0,49
358741201,4592938,5822519,0,0,0,0,0,0
81955901,4569442,5809440,21,25,27,0,0,37
391694701,4589221,5832832,0,0,0,0,0,0
361630901,4599246,5827362,0,0,0,0,0,0
296007601,4591257,5811301,21,25,27,0,0,37
486642601,4655378,5801722,21,25,27,31,0,44
364079201,4593407,5813246,0,0,0,0,0,0
22560001,4491561,5882816,33,37,39,0,0,49
99025001,4682454,5786138,21,25,27,0,0,37
409470301,4596240,5820281,17,21,23,0,0,33
416924501,4601808,5819950,17,21,0,0,0,33
363194301,4603194,5827449,17,21,23,0,0,33
266772901,4601120,5832921,0,0,0,0,0,0
261693301,4595276,5820148,21,25,27,0,0,37
480922101,4675542,5729797,0,0,0,0,0,0
65585501,4605830,5835362,25,29,31,0,0,41
378599501,4584072,5811899,21,25,0,0,0,37
286312901,4583151,5820375,17,21,23,0,0,33
380584901,4587422,5820568,13,17,19,33,24,36
269652801,4602946,5817748,17,21,23,0,0,33
234626601,4602696,5835960,13,17,19,0,0,29
27435501,4611151,5849291,29,33,35,0,0,45
273250801,4588866,5816131,0,0,0,0,0,0
254454701,4598616,5822438,21,25,0,0,0,37
245732101,4592138,5829581,0,0,0,0,0,0
341665601,4594811,5819963,21,25,27,0,0,37
251232001,4592630,5811791,33,37,39,0,0,49
53960701,4614073,5797344,24,28,30,0,0,40
338989701,4590217,5817967,17,21,23,0,0,33
475813501,4534171,5869832,33,37,0,0,0,49
270186801,4603046,5814015,27,31,33,0,0,43
352670301,4606472,5813943,17,21,0,0,0,33
240507401,4589994,5818643,17,21,23,0,0,33
95539201,4610674,5817978,21,25,27,0,0,37
66006101,4603512,5835880,17,21,23,0,0,33
50240301,4613154,5834594,0,0,0,0,0,0
487273801,4589900,5718388,65,69,71,75,0,88
485086501,4673063,5792138,25,29,31,0,0,41
437091301,4592991,5810487,21,25,0,0,0,37
409398801,4588964,5819851,0,0,0,0,0,0
407244201,4592233,5823733,25,29,0,0,0,41
372327601,4589695,5817020,21,25,27,0,0,37
372049301,4593733,5815521,0,0,0,0,0,0
365678101,4608400,5822929,25,29,31,0,0,41
354092801,4594164,5819700,21,25,27,0,0,37
336396801,4576973,5821642,22,26,28,0,0,38
321149701,4606407,5826887,21,25,27,0,0,37
311300601,4589716,5833373,0,0,0,0,0,0
292733901,4592183,5827140,21,25,27,0,0,37
292662401,4588566,5817829,21,25,27,0,0,37
269315001,4596840,5821882,21,25,27,0,0,37
263064301,4593090,5819292,18,22,24,28,0,41
259861301,4582058,5826085,0,0,0,0,0,0
256285901,4588781,5827366,21,25,27,0,0,37
2536701,4570015,5773837,0,0,0,0,0,0
242626101,4598050,5819346,21,25,27,0,0,37
230472301,4608539,5822904,23,27,29,0,0,39
230470401,4580429,5825690,17,21,23,0,0,33
224939001,4594122,5822637,25,29,31,0,0,41
22264201,4491611,5882948,33,37,39,0,0,49
219194701,4602910,5827664,25,29,31,0,0,41
212730601,4591149,5817542,25,29,31,0,0,41
20186001,4616444,5738684,0,0,0,0,0,0
198913101,4590567,5821193,17,21,23,0,0,33
184004001,4594697,5819701,21,25,27,31,0,44
183844501,4586488,5821451,10,14,16,0,0,26
181628101,4596342,5822393,21,25,27,0,0,37
174789401,4577519,5822934,17,21,23,0,0,33
169519701,4553808,5862567,41,45,47,0,0,57
152017101,4664541,5786853,37,41,43,0,0,53
143461701,4585411,5846313,29,33,35,0,0,45
133582001,4664306,5741012,34,38,0,0,0,50
116565001,4594088,5845306,21,25,27,0,0,37
11552301,4612060,5747680,0,0,0,0,0,0
108720001,4668295,5798167,17,21,23,0,0,33
316324301,4596348,5828278,21,25,27,0,0,37
315223801,4597575,5823338,17,21,23,0,0,33
55198601,4614073,5797344,21,25,27,0,0,37
134353001,4662951,5738652,30,34,0,0,0,46
99382601,4555596,5821997,41,45,0,0,0,57
294268901,4606447,5822686,21,25,27,0,0,37
166660001,4562025,5804553,25,29,31,0,0,41
159457501,4534630,5804544,25,29,31,0,0,41
448594101,4589639,5830622,17,21,23,0,0,33
171765901,4602620,5808810,17,21,23,0,0,33
19788601,4516058,5908596,49,53,55,0,0,65
97370501,4522912,5830048,45,49,51,0,0,61
187484601,4594335,5825879,21,25,0,0,0,37
173816101,4577700,5824306,17,21,23,0,0,33
219722801,4597859,5831763,0,0,0,0,0,0
201521101,4595731,5809746,0,0,0,0,0,0
486675801,4655271,5803197,25,29,31,0,0,41
34811601,4648201,5746237,0,0,0,0,0,0
16802601,4650156,5766278,0,0,0,0,0,0
159231301,4536566,5809639,0,0,0,0,0,0
134683201,4661620,5738598,38,42,0,0,0,54
28064201,4595699,5734144,29,33,35,0,0,45
49427401,4614189,5726715,0,0,0,0,0,0
122385401,4640692,5744566,45,49,51,0,0,61
211264101,4596647,5822507,21,25,27,41,32,44
200573401,4591880,5820356,25,29,31,0,0,41
136984201,4588649,5806948,22,26,28,0,0,38
18601001,4669331,5721263,45,49,51,0,0,61
114253001,4578807,5887602,0,0,0,0,0,0
326777101,4589254,5820048,21,25,27,0,0,37
357901301,4606360,5826114,17,21,23,0,0,33
294820701,4596409,5821758,18,22,24,0,0,34
57328101,4623086,5859231,17,21,23,0,0,33
267301001,4596535,5806362,21,25,27,0,0,37
376646701,4589181,5816359,17,21,0,0,0,33
282014601,4586362,5810681,0,0,0,0,0,0
267305101,4588423,5814929,21,25,27,0,0,37
180896301,4600073,5816962,21,25,0,0,0,37
303138401,4596324,5815141,21,25,27,0,0,37
446707601,4590261,5822834,22,26,28,0,0,38
441588001,4592455,5823600,0,0,0,0,0,0
430287301,4604624,5812893,17,21,23,0,0,33
196129101,4608144,5825011,21,25,27,0,0,37
99178701,4562767,5818705,17,21,23,0,0,33
5549401,4629690,5757002,32,36,38,42,0,55
38669001,4601174,5888476,29,33,35,0,0,45
348223101,4596076,5818525,25,29,0,0,0,41
89292301,4571178,5811973,33,37,39,0,0,49
378100001,4585700,5819718,21,25,27,0,0,37
155751701,4640028,5726342,0,0,0,0,0,0
10034101,4601755,5704066,0,0,0,0,0,0
302589401,4587856,5817791,21,25,27,0,0,37
140918301,4581559,5835548,25,29,31,0,0,41
445551301,4596202,5824484,0,0,0,0,0,0
34283401,4596108,5781182,25,29,31,0,0,41
65437201,4603485,5836615,17,21,23,0,0,33
361228101,4590857,5814545,17,21,23,0,0,33
288023301,4594204,5814917,21,25,27,0,0,37
138048501,4586410,5808028,21,25,27,0,0,37
322006501,4592164,5824100,13,17,0,0,0,29
32010701,4609226,5834150,21,25,27,0,0,37
278598101,4578780,5810181,0,0,0,0,0,0
120756101,4589091,5870934,34,38,40,0,0,50
245264201,4599710,5825324,17,21,0,0,0,33
430486601,4605996,5810055,0,0,0,0,0,0
93246401,4571906,5805928,21,25,27,0,0,37
85410901,4572348,5808397,21,25,27,0,0,37
480555501,4636343,5747212,33,37,39,0,0,49
47026501,4685063,5765583,29,33,0,0,0,45
455556601,4678853,5783163,26,30,32,0,0,42
453896401,4681879,5781233,25,29,31,0,0,41
451216001,4596306,5825404,0,0,0,0,0,0
414657801,4590211,5815506,21,25,0,0,0,37
414505401,4599415,5812993,21,25,0,0,0,37
404616201,4590219,5817868,0,0,0,0,0,0
400277101,4604295,5827468,21,25,0,0,0,37
398223801,4595210,5826761,0,0,0,0,0,0
390661001,4607065,5825225,18,22,24,0,0,34
384909001,4584448,5828100,21,25,27,31,0,44
